노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
1082,명성운수종점 - 내유동차고지(미정차),0,명성운수종점,0,12,5,29,19,13,2,26,5,13,14,24,4,0,5,2,2,0,2,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),1,신성슈퍼앞,0,2,7,43,33,0,7,0,0,0,7,26,7,2,5,2,0,2,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),2,내유동,0,17,9,60,50,16,14,31,10,18,17,24,9,5,17,10,7,10,7,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),3,중간내유동,0,19,2,48,71,19,19,0,10,0,0,19,0,5,21,0,0,0,2,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),4,윗내유동.희망양로원,0,21,12,83,86,24,0,33,17,29,14,29,11,12,33,12,0,14,12,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),5,내유초등학교,0,0,11,88,17,21,21,0,14,0,17,0,10,7,19,0,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),6,(임시)서울시립고양병원입구,0,10,14,90,88,24,24,31,19,31,7,0,13,10,40,17,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),7,고골입구,0,26,10,93,90,26,0,40,24,0,19,29,10,14,45,19,12,14,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),8,가장동,0,31,17,98,88,38,10,48,21,36,19,31,18,21,48,21,14,14,14,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),9,두포동.관산동성당,0,24,0,0,0,0,0,17,26,10,21,0,14,29,0,0,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),10,벽제교.관산삼거리,0,0,19,98,86,40,26,0,0,14,0,21,16,21,50,0,0,17,5,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),11,벽제교삼거리,0,33,12,95,88,24,31,21,29,17,0,24,17,31,0,14,0,19,7,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),12,쥬쥬테마동물원,0,0,0,95,86,27,0,0,31,19,0,29,0,29,55,0,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),13,청대골,0,0,16,0,17,0,12,17,17,0,0,0,19,0,62,10,7,0,17,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),14,삼릉역,0,0,0,0,83,0,0,0,0,0,0,31,0,0,0,0,0,5,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),15,왕릉골,0,0,21,0,0,0,0,0,0,0,24,29,0,12,36,0,0,7,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),16,부대앞,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),17,윗배다리,0,21,0,0,81,29,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),18,원릉역,0,0,20,93,90,29,38,24,14,40,21,29,21,26,55,17,12,14,14,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),19,주교동.원릉방앗간,0,31,26,83,95,31,36,45,17,38,26,31,19,17,55,10,10,17,14,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),20,고양시청,0,29,29,83,90,29,31,40,12,36,14,29,18,21,52,19,5,14,12,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),21,성사2동행정복지센터,0,36,27,43,88,12,36,38,7,29,24,0,0,14,50,17,12,7,17,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),22,고양어울림누리.달빛마을1단지,0,19,24,79,86,29,0,38,14,14,0,31,21,19,48,0,12,0,2,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),23,화정1동행정복지센터,0,38,36,79,86,48,36,0,0,38,26,33,7,19,52,5,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),24,명지병원.달빛마을3단지,0,43,44,76,88,45,38,45,17,42,24,29,26,19,55,21,10,17,10,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),25,화정동단독주택단지,0,45,45,55,76,43,36,48,19,38,21,31,29,21,55,17,10,14,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),26,화정역.덕양구청,0,50,53,50,52,31,38,48,17,31,24,29,40,26,50,21,7,12,21,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),27,별빛마을8단지.롯데마트,0,52,64,57,50,38,40,48,17,31,24,26,45,24,43,19,7,14,17,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),28,근린공원,0,50,73,67,55,0,43,50,19,36,29,21,40,26,48,10,12,17,19,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),29,화정2동행정복지센터,0,55,78,74,57,40,40,55,21,50,26,12,48,29,26,7,9,0,14,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),30,옥빛17단지.롯데마트고양점,0,67,87,86,62,45,48,67,29,52,29,29,50,26,40,0,14,14,12,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),31,행신초등학교,0,67,89,90,64,40,45,74,31,55,0,24,31,33,29,17,12,17,19,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),32,샘터마을2단지,0,71,91,98,64,45,48,86,29,52,19,24,52,22,38,14,14,14,19,5,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),33,가라뫼.한전앞,0,81,91,95,69,50,60,95,29,60,21,26,60,36,33,12,7,10,17,7,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),34,무원고교,0,88,76,45,71,38,62,98,36,62,31,24,64,38,0,12,14,0,21,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),35,행신SK뷰아파트,0,98,86,98,83,50,67,36,43,57,0,31,43,40,0,14,0,10,0,5,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),36,행신동삼거리,0,67,90,90,83,52,67,38,29,60,0,31,57,0,31,0,13,7,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),37,토당초등학교.우창프라자,0,0,64,0,0,45,67,67,26,0,21,29,48,26,0,7,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),38,능곡화원,0,0,0,0,64,0,0,95,0,0,0,0,43,0,0,21,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),39,맨돌,0,95,0,90,81,48,0,93,0,0,0,17,0,31,29,26,12,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),40,행주산성입구.행주내동,0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),41,북로JC(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),42,남고양IC(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),43,가양대교북단(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),44,난지한강공원(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),45,성산대교북단(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),46,당산역.삼성래미안아파트,0,0,33,48,52,36,24,29,48,21,14,21,33,21,21,12,7,5,12,0,0,0,0,0,
