feature,theta
bias,43.39076201400709
travel_time_min,-7.63266577912666
walk_distance_m,-3.4943177488968087
congestion,-7.796519506817376
transfers,-3.7240698276457986
departure_hour,-0.025632375237046142
bus_line_Line 2,2.147888108238717
bus_line_Line 3,2.159003346541045
bus_line_Line 4,2.14690648665383
bus_line_Line 5,2.141729869340216
weekday_Mon,2.984015130267262
weekday_Sat,2.9406358856203085
weekday_Sun,2.9794980787310106
weekday_Thr,2.9669015741854157
weekday_Tue,2.9840445573428416
weekday_Wed,2.9531678617269805
